0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
-3.4000340969,-3.4000340969,0,0,0
-2.9229128422,-2.6218828465,-3.0990041012,-3.0990041012,-2.6218828465
-2.4969441099,-2.0990041012,-2.7010640926,-2.7010640926,-2.0990041012
-1.9086724031,-2.0462641475,-1.937636099,-2.0462641475,0
-2.0214188859,-1.9773620619,-2.0352058273,-2.0352058273,-1.9773620619
-1.9509547306,-2.0444447847,-1.9783262759,-2.0444447847,0
-2.1736409854,-2.1211259284,-2.1110315027,0,-2.1110315027
-2.3047351037,-2.4306984221,-2.1603423286,-2.4306984221,-2.1603423286
-2.6969663115,-2.9658116238,-2.5934257196,-2.9658116238,-2.5934257196
-3.2668416195,-3.4129696551,-3.2668416195,-3.4129696551,0
-4.1119396595,0,-3.6348184048,-4.1119396595,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
