"CATAID","SFR_RT","SFR_Ha","SFR_OII","SFR_FUV","SFR_NUV","SFR_u","SFR_W3","SFR_W4","SFR_100","SFR_NED_UV_TIR","SFR_LINGYU_UV_TIR","fuv","fuErr","nuv","nuvErr","w1","w1Err","w2","w2Err","w3","w3Err","w4","w4Err"
567624,NA,0.562048413539103,1.13376254063497,1.29142397204736,0.311800793581685,2.00479937413978,0.17997091580772,2.5357688148163,70276948624.7672,0.329246942095997,0.207491351745491,8.30390684032506e-05,3.63706182176042e-07,0.000166278935381516,7.56855477000014e-07,0.000758450820956457,8.93925063472959e-06,0.000452814623103478,1.58070007498055e-05,0.00141482182313721,5.32995697803977e-05,0.000319105568804051,0.000234579744377914
574200,1.167954520094,1.54366373844681,0.435830509445661,0.43346686553613,0.399459503876863,4.09150661263746,0.737732766088966,4.68243117795542,124564070976.755,0.882779651509436,0.656145266302905,0.000137386506750615,3.48868654168599e-07,0.000175008979560477,5.96540319563559e-07,0.00123836774619097,7.87017268824086e-06,0.000815276948114216,1.22354486666843e-05,0.00336686509241718,5.5247544925898e-05,0.00412548214662039,0.000212854564158473
228432,NA,2.75666746480742,0.490831790453153,0.517764374445202,0.371492870971242,6.97375365242682,1.86456183901305,7.68738265099254,195258672760.803,1.68684713725456,0.993116048420934,8.55678893717394e-05,3.07053892633133e-07,0.00012286240780714,1.01996818433675e-06,0.000895530656449198,9.48289856937883e-06,0.000569605746415786,9.4981722066945e-06,0.00691160546671078,5.38358611544548e-05,0.0214405483792641,0.000293854487348139
239249,NA,0.564836755549654,0.393484217269782,0.489968854964498,0.222528028578628,2.24173697415096,0.466538969781515,2.31837853310101,43195021320.6851,0.255097042622319,0.0981747943019984,2.5692456842446e-05,2.1090127528264e-07,4.51423940836459e-05,7.11880349399264e-07,0.000696247801085833,4.03579089068397e-06,0.000402098012187586,1.17642493053005e-05,0.00129669752206536,4.90984026826088e-05,0.00176732541128997,0.000154558088306159
31452,NA,1.06547689814535,0.54545334231846,0.558569320961911,0.775877150623338,4.07829089459346,0.898785730192347,3.93013346579319,137114747735.899,1.09519904112185,0.762079010025412,0.000238897279387795,6.39604162156276e-07,0.000335122742695372,2.50569766492787e-06,0.00281610732635572,3.14209191669656e-05,0.0018239934452723,4.43351808341288e-05,0.00669475819814497,0.000201672276916063,0.0105626856215882,0.000722142317637246
238125,0.527166595217291,1.61254127702537,0.646933688681073,0.752204605894659,0.415490506779022,4.08469988606274,0.828114231868561,4.75720395677867,123862691477.86,0.999509086137145,0.395366620068128,6.10049670041764e-05,5.06981351669666e-07,0.000108129911627983,1.43488214695091e-06,0.00135938220278216,1.41734762124205e-05,0.000878383613306967,2.28751842320004e-05,0.00409763728663532,5.37376965378993e-05,0.00591660562836811,0.000330258418270746
486834,NA,0.88704598360569,1.04943672040098,1.20728950018598,0.522925658574681,4.50929613036598,1.02053967374724,4.44755955074657,402468609132.55,NA,0.377572190925416,2.53209473155906e-05,1.52048124273475e-07,4.98153703038391e-05,8.49928009991146e-07,0.000985861204031894,8.91337390440402e-06,0.000575066639314328,1.39433074914767e-05,0.00165489965686992,7.39466085482176e-05,0.00342547054144512,0.00027515596026657
417678,NA,7.21351987883791,1.20176883313029,1.52934610815238,1.12139444669553,17.5606042621464,3.094803343358,17.2585644571457,1200134053982.77,NA,2.76694164541151,1.53992033024353e-05,2.72895329808413e-07,3.52320753851748e-05,5.96220518640601e-07,0.00336721323920318,5.28203980733257e-06,0.00234137298914119,1.35050427472983e-05,0.0164399133903743,5.10077675917405e-05,0.0298088689110716,0.000202555091064208
106389,1.75657004529751,1.52753492553439,0.962178853380641,1.07120224093565,1.3948113886898,11.6894952647466,1.83845804897341,10.5848611142477,327474343725.757,3.03136301868384,1.35518941235104,3.69052884031346e-05,9.12524966403616e-08,6.7021548338312e-05,6.12270926230677e-07,0.00334488786688319,1.46174470966063e-05,0.00212110260796054,1.0402869712085e-05,0.0085265195342145,6.58239717780453e-05,0.0102603116959841,0.00025662207653991
593680,NA,2.34194048585565,127.053930345939,236.408414061165,1.60900199201708,18.3382808858015,NA,18.0710656791481,686498188239.831,6.39446786847149,1.61064563517827,6.78319808113686e-06,6.14024340994192e-08,8.05136531962823e-05,1.84847480127111e-06,0.00892098272128035,1.67805442999158e-05,0.00606030465597329,2.30705706553443e-05,0.0300696458589628,9.15795634719279e-05,0.0432471857546037,0.00060998583550181
618906,NA,28.8979144738509,1.72053837053553,2.06321080351997,2.59031870425981,11.9551355049535,1.70852946776204,8.79675784784658,269367384094.976,2.2920699712416,0.633869711256927,1.2236685779734e-05,1.12001430783604e-07,2.69281929742181e-05,6.5745114089666e-07,0.00212152346719566,4.06434581872181e-06,0.00126163930557999,8.60696347736164e-06,0.00434540034790026,6.53264380248174e-05,0.00466652060112833,0.000234409539571279
