	x	y	dyu	dyd
0	5.66176470588	-inf	0.0	0.0
1	5.98529411765	-inf	0.0	0.0
2	6.30882352941	-inf	0.0	0.0
3	6.63235294118	-3.40003409689	0.4771212547	0.0
4	6.95588235294	-2.79797410556	0.851541567268	0.357767175012
5	7.27941176471	-1.95287606555	0.194185635829	0.208712951555
6	7.60294117647	-1.66523247936	0.0570944632661	0.146762845679
7	7.92647058824	-1.78401057951	0.0550726004475	0.0674666458321
8	8.25	-1.80045671776	0.0518250191448	0.245721954326
9	8.57352941176	-2.1540651217	0.101117587857	0.0662518580869
10	8.89705882353	-2.30473510367	0.146708539346	0.138853734946
11	9.22058823529	-2.69696631151	0.126701106786	0.228867838429
12	9.54411764706	-3.26684161947	0.159531884657	0.216341916973
13	9.86764705882	-4.11193965948	0.4771212547	0.0
14	10.1911764706	-inf	0.0	0.0
15	10.5147058824	-inf	0.0	0.0
16	10.8382352941	-inf	0.0	0.0
