Log(Mh2)                 Log(L'CO)                Log(M)					Log(SFR)
[Msun]					[K km/s pc^2]  			  [Msun]					[Msun/yr]
9.045941900678780456e+00,8.431510743045363299e+00,1.016999999999999993e+01,-1.702350834151318548e-01
8.963441370177491763e+00,8.421510743045363512e+00,1.005000000000000071e+01,-1.889476022468913330e-01
9.075121342613249098e+00,8.481510743045362233e+00,1.008000000000000007e+01,-8.074601405918446773e-02
8.775126816514944750e+00,8.101510743045363228e+00,1.018999999999999950e+01,-8.118995948620842951e-01
9.181005115828362761e+00,8.751510743045363583e+00,1.081000000000000050e+01,-5.759239308579140737e-02
8.832002933424281110e+00,8.311510743045362304e+00,1.073000000000000043e+01,-5.447867963050780915e-01
9.125553207860427563e+00,8.761510743045363370e+00,1.074000000000000021e+01,1.362641366074889837e-01
8.971510743045362446e+00,8.341510743045363441e+00,1.016000000000000014e+01,-1.614576659206598819e-01
9.855110286674985787e+00,9.331510743045363654e+00,1.066999999999999993e+01,7.735959536158749650e-01
9.974539014838953221e+00,9.441510743045363085e+00,1.074000000000000021e+01,9.065880387251507022e-01
8.981719567610522148e+00,8.341510743045363441e+00,1.100999999999999979e+01,3.031468266593057570e-01
1.005151074304536252e+01,9.421510743045363512e+00,1.090000000000000036e+01,7.944133956320935663e-01
8.671965159969875714e+00,8.111510743045363014e+00,1.023000000000000043e+01,-2.950871066544535903e-01
8.312736207847324366e+00,7.951510743045362872e+00,1.025999999999999979e+01,-3.805744283131441419e-01
9.509084061119919440e+00,9.001510743045363583e+00,1.133000000000000007e+01,5.307131234791350599e-02
9.862651036295371654e+00,8.811510743045362304e+00,1.072000000000000064e+01,2.629819629600614328e-01
9.701510743045362872e+00,9.071510743045363867e+00,1.047000000000000064e+01,5.938395289561453350e-01
9.051510743045362517e+00,8.421510743045363512e+00,1.041000000000000014e+01,-1.931172959698958594e-02
9.120243091612111996e+00,8.751510743045363583e+00,1.055000000000000071e+01,-1.757874560942021547e-01
9.776431796338817648e+00,8.711510743045362659e+00,1.055000000000000071e+01,4.760267383046944412e-01
8.558976434905192221e+00,8.021510743045363157e+00,1.057000000000000028e+01,-1.860402974966599010e-01
9.340639974646025578e+00,8.801510743045362517e+00,1.036999999999999922e+01,4.063176646407067327e-01
9.457787562583851226e+00,8.901510743045362162e+00,1.100000000000000000e+01,-7.630836575795451465e-03
9.783187762025738365e+00,9.150000000000000355e+00,1.057000000000000028e+01,1.085987939281063186e+00
9.440501212312538470e+00,8.921510743045363512e+00,1.083999999999999986e+01,3.016475325275943531e-01
8.532413008687484535e+00,8.151510743045362162e+00,1.014000000000000057e+01,-9.933618653310587465e-01
9.099690276363219255e+00,8.641510743045362375e+00,1.048000000000000043e+01,-6.816828810668486283e-02
9.064484764067906042e+00,8.561510743045362304e+00,1.009999999999999964e+01,4.563395971694370057e-02
9.190109115276372975e+00,8.521510743045363157e+00,1.089000000000000057e+01,2.499495020864347106e-01
9.425345623974823894e+00,8.911510743045363725e+00,1.052999999999999936e+01,4.882783109339413063e-01
9.735688591318620411e+00,8.801510743045362517e+00,1.019999999999999929e+01,4.982242706762384787e-01
9.429810086299486471e+00,8.791510743045362730e+00,1.082000000000000028e+01,1.943543492425720276e-01
8.581510743045361878e+00,7.951510743045362872e+00,1.001999999999999957e+01,-6.286887236516526256e-01
9.585729521747220261e+00,9.021510743045363157e+00,1.035999999999999943e+01,6.804990926870333467e-01
9.463615306249543835e+00,8.921510743045363512e+00,1.068999999999999950e+01,1.293645143169371292e-01
9.474876066017436926e+00,8.831510743045363654e+00,1.056000000000000050e+01,2.897177471928231718e-01
9.281510743045361167e+00,8.651510743045362162e+00,1.024000000000000021e+01,-2.476827454556819463e-01
9.381510743045362588e+00,8.751510743045363583e+00,1.010999999999999943e+01,3.418402815787776605e-01
9.451337406459467516e+00,8.861510743045363014e+00,1.100000000000000000e+01,2.028979466218382988e-01
9.415983623641260181e+00,8.621510743045362801e+00,1.063000000000000078e+01,1.902859670692596747e-02
9.236151735378651750e+00,8.681510743045363299e+00,1.000999999999999979e+01,2.979317850755366925e-01
9.126603248033889670e+00,8.471510743045362446e+00,1.023000000000000043e+01,-1.174790571986719240e-01
9.726801386947860451e+00,9.181510743045363299e+00,1.055000000000000071e+01,4.770736764994119028e-01
8.753040246383227085e+00,8.391510743045362375e+00,1.053999999999999915e+01,-3.368669984871931478e-01
9.578680332597123481e+00,9.041510743045362730e+00,1.036999999999999922e+01,8.500267002107053660e-01
9.025733633581863202e+00,8.551510743045362517e+00,1.006000000000000050e+01,-1.386875622137362096e-01
9.261510743045361593e+00,8.631510743045362588e+00,1.001999999999999957e+01,2.538976367505527132e-01
9.109009922224458933e+00,8.541510743045362730e+00,1.107000000000000028e+01,1.871823028034645120e-01
9.053277257349472862e+00,8.561510743045362304e+00,1.035999999999999943e+01,-8.914685606091225789e-02
9.151510743045362162e+00,8.521510743045363157e+00,1.010999999999999943e+01,1.522208318204337218e-01
9.101510743045361451e+00,8.471510743045362446e+00,1.019999999999999929e+01,-2.763542101739644985e-01
9.398538745698980179e+00,8.811510743045362304e+00,1.056000000000000050e+01,2.726538378134280016e-01
9.581510743045361878e+00,8.951510743045362872e+00,1.038000000000000078e+01,1.262758110166027348e-01
9.521510743045361380e+00,8.891510743045362375e+00,1.055000000000000071e+01,1.755897509805177670e-01
8.945998071923028760e+00,8.381510743045362588e+00,1.066999999999999993e+01,-4.024593633277120941e-01
8.901510743045362162e+00,8.271510743045363157e+00,1.000999999999999979e+01,-8.723071893920827935e-02
