low,high
0.3010299957,0.4021351779
0.1995723549,0.1618783316
0.1077360293,0.0079929276
0.135185941,0.0835864373
0.014389826,0.0949900119
0.1380234175,0.0219230725
0,0.0405573283
0.4393210812,0.0067946863
0,0.1963137093
0.199171489,0
0.0621479067,0.311425358
0.3152704348,0
0.2108533653,0.2284793285
0.84509804,0.3010299957
0,0.4771212547
