GASS,AGCnr,SDSS,PLATEID,MJD,FIBERID,ra,dec,MASS_P50,HIMASS_LIM,WARNING,index,mpa_z,model_u,model_g,model_r,model_i,model_z,ext_u,ext_g,ext_r,ext_i,ext_z
47437,720375,J155706.13+200311.3,2173,53874,248,20.05315,0.03317,10.143,8.5,0,760439,0.033146825,17.5504,16.0345,15.3866,15.0512,14.805,0.2427,0.1786,0.1295,0.0982,0.0696
27805,255261,J155707.91+305518.7,1579,53473,538,30.921864,0.04724,10.081,8.5,0,530794,0.04724672,19.9679,18.2321,17.354,16.6881,16.6143,0.1664,0.1225,0.0888,0.0673,0.0478
31587,255262,J155710.94+242022.8,1851,53524,428,24.33967,0.04322,10.46,8.66,0,655565,0.043241467,18.6721,16.804,15.9411,15.4986,15.1275,0.339,0.2494,0.1809,0.1372,0.0973
47435,720378,J155712.77+200215.1,2173,53874,245,20.037539,0.04945,10.11,8.5,0,760436,0.04943372,18.3268,16.9972,16.3954,16.0449,15.7591,0.2363,0.1739,0.1261,0.0956,0.0678
29469,254034,J155716.50+083252.5,1728,53228,251,8.547935,0.04691,10.208,8.5,0,596761,0.046868727,18.5101,16.9968,16.276,15.9113,15.6326,0.1888,0.1389,0.1008,0.0764,0.0542
29482,715159,J155718.45+085808.3,1728,53228,369,8.968977,0.04347,10.201,8.5,0,596814,0.04343703,19.5047,17.4851,16.596,16.3252,15.7264,0.2362,0.1738,0.1261,0.0956,0.0678
47278,720383,J155718.58+180316.4,2170,53875,595,18.054571,0.04505,10.675,8.88,0,759205,0.04506452,17.9043,16.1497,15.32,14.9063,14.5835,0.1967,0.1448,0.105,0.0796,0.0564
21175,255269,J155720.89+331243.9,1404,52825,573,33.21221,0.04787,10.034,8.5,0,478314,0.047868725,18.7877,17.4587,16.7526,16.3621,16.1218,0.1863,0.1371,0.0994,0.0754,0.0535
21166,255270,J155721.28+325731.6,1404,52825,482,32.95879,0.04837,10.049,8.5,0,478251,0.048364043,19.4368,17.7508,16.956,16.5586,16.2512,0.1839,0.1353,0.0981,0.0744,0.0528
42337,727349,J155721.42+242427.9,1850,53786,19,24.407774,0.04335,10.857,9.06,0,654858,0.04337835,17.1876,15.5929,14.7948,14.3845,14.0225,0.3536,0.2602,0.1887,0.1431,0.1015
42412,252345,J155725.27+244332.0,1850,53786,619,24.725557,0.0413,10.574,8.77,0,655297,0.041287612,17.0716,15.6986,15.0665,14.6536,14.3626,0.3211,0.2362,0.1713,0.1299,0.0921
47275,720386,J155726.10+181341.0,2170,53875,584,18.228058,0.04547,10.254,8.5,0,759195,0.045472696,18.077,16.6401,15.9605,15.5988,15.3425,0.202,0.1487,0.1078,0.0818,0.058
27780,10104,J155727.90+300335.4,1579,53473,104,30.059855,0.03277,10.289,8.5,0,530537,0.032764483,18.9802,16.9644,16.0465,15.5831,15.1814,0.1882,0.1385,0.1004,0.0762,0.054
38293,255423,J155729.05+162942.8,2196,53534,271,16.49523,0.03877,10.07,8.5,0,761036,0.03877861,18.2841,16.6187,15.9733,15.6359,15.3736,0.1786,0.1314,0.0953,0.0723,0.0512
38295,255424,J155731.97+161654.1,2196,53534,276,16.281704,0.03814,10.075,8.5,0,761040,0.038144633,18.6615,17.1425,16.3542,15.9721,15.6751,0.1918,0.1411,0.1024,0.0776,0.055
47174,720391,J155732.85+173744.6,2170,53875,32,17.629059,0.04413,10.569,8.77,0,758766,0.04412555,18.3977,16.4968,15.6017,15.2105,14.9074,0.1987,0.1462,0.106,0.0804,0.057
47441,720392,J155733.02+195943.6,2173,53874,257,19.99546,0.0351,10.727,8.93,0,760446,0.03509289,17.3929,15.4971,14.6608,14.2695,13.9579,0.2211,0.1627,0.118,0.0895,0.0634
1576,253908,J155733.49+001858.1,343,51692,507,0.316176,0.03216,10.156,8.5,0,39331,0.032131247,18.5181,16.85,16.0372,15.577,15.211,0.5766,0.4242,0.3077,0.2333,0.1654
47277,251371,J155735.21+180141.4,2170,53875,592,18.028173,0.0314,10.355,8.56,0,759202,0.031413496,16.8831,15.4155,14.777,14.4416,14.1638,0.2136,0.1571,0.114,0.0864,0.0613
38304,251743,J155736.70+160802.8,2196,53534,308,16.134113,0.03545,10.679,8.88,0,761067,0.03545532,17.0579,15.674,14.9,14.491,14.1485,0.2019,0.1485,0.1077,0.0817,0.0579
28417,255278,J155738.99+251750.7,1655,53523,128,25.297426,0.04216,10.587,8.79,0,565727,0.04216351,17.7377,15.9562,15.1794,14.8115,14.5256,0.3161,0.2326,0.1687,0.1279,0.0907
