low,high
0,0
0,0
0,0
0.4259687323,0.2721507857
0.1216863693,0.2041061091
0.0565523046,0.0135126424
0.0481099191,0.1662092166
0.1256328188,0
0.1773098723,0.1700967491
0.1407516111,0
0.049683044,0.0772403635
0.0929587749,0.1632492854
0.2652263057,0.051237177
0.3979400087,0.2388820889
0.1249387366,0.4393326938
