low,high
0,0.6989700043
0.3010299957,0.9343502305
0.3979400087,0.0754480093
0.0224445147,0.3049646615
0.1438527887,0.0059245447
0.07560113,0.0175322445
0.2534291659,0
0.1435708737,0.1841379083
0.0863628012,0.102100066
0.1721929635,0.0952860729
0.2773560753,0.1320462819
0.4623979979,0.1320203265
0.6368220976,0.3631779024
0.3010299957,0.2632414348
0,0.3979400087
