GASSID,AGC,PLATEID,MJD,FIBERID,RA,DEC,Z,MASS,SFR_SDSS,SFR,SSFR
109098,0,566,52238,600,137.2125854492,3.4483811855,0.01282318,9.45386,0.1247441,0.3033707,-9.971887
109099,0,473,51929,84,140.138671875,0.7210369706,0.01719962,9.018043,0.05186806,0.1173983,-9.94838
111065,0,2508,53875,421,175.1944732666,17.795917511,0.01163962,9.615661,0.0202843,1.484577,-9.444057
101021,0,398,51789,516,19.223274231,0.1531272233,0.01895591,9.219522,0.185742,0.29978,-9.742719
109100,190788,2583,54095,300,146.6292572021,15.8863248825,0.01268292,9.507858,0.2007382,0.2430462,-10.12217
109101,0,2284,53708,174,136.0202484131,22.0615768433,0.01037601,9.008195,0.2341262,0.267131,-9.58147
108115,0,2267,53713,582,122.8210983276,16.9394416809,0.01588442,9.148467,0.1909458,0.3338515,-9.624914
113104,0,2653,54230,440,202.5498352051,21.6022014618,0.01892762,9.072053,0.0901426,0.09951159,-10.07418
109102,0,568,52254,308,140.3143920898,3.1510901451,0.01174206,9.377235,0.3265578,0.7373453,-9.509564
114111,240411,1708,53503,601,217.4606933594,13.7996578217,0.01751123,9.273209,0.5234197,0.6270677,-9.475894
110057,0,2353,53794,83,157.3460845947,26.0704498291,0.01660203,9.363987,0.1860673,0.2617886,-9.946036
112094,0,2011,53499,237,194.5806427002,28.6985282898,0.01930469,9.109933,0.05387411,0.02992593,-10.63389
114112,0,2133,53917,238,217.0680541992,29.7318592072,0.01406426,9.012104,0.05804571,0.08755333,-10.06983
110058,0,1746,53062,394,154.5798950195,13.2312574387,0.01828882,9.05314,0.2681699,0.1910379,-9.77202
113105,0,2770,54510,202,209.2730865479,19.5439605713,0.01727368,9.136897,0.390724,0.296272,-9.665207
110059,0,2019,53430,130,159.8047790527,31.114025116,0.01892377,9.41473,0.03042356,0.3418599,-9.880882
109103,0,477,52026,322,144.1697387695,2.7035501003,0.0189364,9.45266,0.1604575,0.3475178,-9.911682
101023,0,398,51789,616,20.4521694183,0.9431899786,0.0192795,9.557057,0.2488285,0.2437852,-10.17005
109104,0,2285,53700,68,137.0254058838,18.8489971161,0.01380175,9.349668,0.04760911,0.4721143,-9.67562
111066,0,1604,53078,7,168.4900512695,10.8717327118,0.01980085,9.25457,0.1446805,0.2266495,-9.899216
111067,213092,1223,52781,499,172.4091796875,9.967590332,0.01967156,9.268587,0.268102,0.2104077,-9.945525
109105,0,1211,52964,154,135.075668335,34.670791626,0.01066384,9.070861,0.2847083,0.1844435,-9.804997
107024,0,755,52235,639,117.405418396,32.7386703491,0.01462954,9.399076,0.338618,0.5619478,-9.649381
109106,0,2584,54153,298,148.4645385742,13.6151065826,0.0162524,9.646935,0.8253727,1.150818,-9.585928
113107,0,531,52028,280,208.7361755371,2.0957064629,0.01460503,9.008447,0.3344183,0.2350893,-9.637214
111068,0,514,51994,425,175.4674072266,2.5819478035,0.01977145,9.179672,0.1069326,0.7533286,-9.302688
112095,7012,2225,53729,501,180.5131225586,29.8479862213,0.01023508,9.223711,0.2826963,0.8337674,-9.302666
108116,0,2419,54139,500,120.8651809692,9.7099647522,0.01453429,9.369645,0.170624,0.2118709,-10.04357
114113,240018,1703,53799,458,210.7910461426,12.1704015732,0.01712085,9.072095,0.4851769,0.317415,-9.570468
109107,0,1595,52999,95,147.3070373535,35.0429801941,0.01555227,9.886776,0.4583741,0.5633985,-10.13596
108117,0,2429,53799,595,131.7894592285,16.3449707031,0.01990871,9.553079,0.6254608,0.8435986,-9.626943
113108,0,2024,53503,296,205.5227508545,32.0286903381,0.01563126,9.270407,0.3431706,0.3563211,-9.718565
114114,9138,2786,54540,451,214.1967163086,23.0024814606,0.01535831,9.992966,0.5513662,1.061416,-9.96708
124021,100763,394,51812,420,12.7150611877,0.851207912,0.01526335,9.004966,0.103937,0.1505348,-9.827329
113109,231576,1805,53875,632,209.4676055908,7.4135069847,0.01560619,9.810108,0.3478245,0.59058,-10.03883
113110,0,2104,53852,511,199.9764862061,31.234960556,0.01853696,9.502762,0.1429421,0.2649109,-10.07966
114115,0,532,51993,535,212.1365814209,3.024296999,0.01753128,9.647295,0.3652751,0.549134,-9.907617
110061,0,1952,53378,126,152.2563934326,32.4917068481,0.01968691,9.746409,0.2684603,1.760238,-9.500838
101024,0,429,51820,118,27.3234596252,13.4666547775,0.01663708,9.283837,0.01896226,0.09937405,-10.28656
108118,0,1927,53321,432,125.3291320801,21.4468746185,0.01515468,9.686052,0.06646302,-0.02292011,NULL
113111,0,2009,53857,254,196.1622161865,29.2248744965,0.01924135,9.595859,0.04520225,0.1259557,-10.49564
113112,0,525,52295,272,197.5807342529,2.0259656906,0.01836887,9.344052,0.2281971,0.692715,-9.503498
111069,6437,2495,54175,25,171.4429016113,18.939994812,0.01781364,9.784001,0.4452153,0.9477801,-9.807294
109108,191848,1305,52757,433,146.080947876,9.9847888947,0.01021397,9.615812,0.8004425,0.115389,-10.55365
109109,721719,2341,53738,518,148.1688690186,25.0895366669,0.0195529,9.081582,0.216242,0.7197527,-9.224399
109110,0,473,51929,210,139.7763061523,0.677660048,0.01759194,9.082994,0.03391408,0.1332814,-9.958225
113113,8250,2029,53819,606,197.5839080811,32.4831962585,0.01755733,9.89322,0.6033511,1.258536,-9.793354
113114,230082,2009,53857,205,196.6590270996,28.8484668732,0.01598473,9.032011,0.4713571,0.7378935,-9.164018
111070,6806,2514,53882,339,177.5840759277,25.9618682861,0.01253917,9.358546,0.6538379,0.6100857,-9.573155
101025,790,695,52202,410,18.6557579041,1.1814939976,0.0154446,9.836676,0.05952646,1.136646,-9.781051
111071,6627,1755,53386,1,174.9812774658,13.4672336578,0.01180152,9.008116,0.1280973,0.1138962,-9.951607
