ID,XCO
11956,4.35
12025,4.35
12002,4.35
11989,4.35
11994,4.35
27167,4.35
3189,4.35
3261,4.35
3318,4.35
3439,4.35
3465,4.35
3645,4.35
3509,4.35
3524,4.35
3519,4.35
3505,4.35
3504,4.35
3821,4.35
3819,4.35
4094,4.35
4195,4.35
4216,4.35
4137,4.35
4233,4.35
4230,4.35
4223,4.35
4239,4.35
3962,4.35
4017,4.35
3880,4.35
3977,4.35
4030,4.35
4038,4.35
4037,4.35
4039,4.35
4045,4.35
4041,4.35
4040,4.35
4048,4.35
4054,4.35
3981,4.35
3985,4.35
4057,4.35
13775,4.35
51276,4.35
31592,1
36169,1
51416,4.35
51336,4.35
31775,1
56375,4.35
56319,4.35
56320,4.35
51580,4.35
51563,4.35
56312,4.35
56304,4.35
17135,4.35
26650,4.35
32257,4.35
19918,4.35
32308,4.35
56486,4.35
56509,4.35
8096,4.35
19989,4.35
52297,4.35
32568,4.35
19949,4.35
16695,4.35
25752,4.35
56662,4.35
56612,4.35
56650,4.35
25763,4.35
56632,4.35
16655,4.35
32619,4.35
20041,4.35
20042,4.35
16756,4.35
25852,4.35
16815,4.35
14712,4.35
22436,1
25844,4.35
57017,4.35
33039,4.35
16841,4.35
20165,4.35
20133,4.35
8335,4.35
8347,4.35
14784,4.35
8349,4.35
26056,4.35
18702,4.35
22822,4.35
18673,4.35
18686,4.35
18681,4.35
26040,4.35
20292,4.35
20286,4.35
4914,4.35
33737,4.35
26151,4.35
5035,4.35
14831,4.35
18798,4.35
14943,4.35
26221,4.35
26368,4.35
18900,4.35
18877,4.35
18887,4.35
8724,4.35
26320,4.35
26311,4.35
22999,4.35
23088,4.35
23026,4.35
5204,4.35
55541,4.35
23120,1
23194,1
26602,4.35
26598,4.35
26570,4.35
23227,4.35
23228,4.35
15181,4.35
26629,4.35
15211,4.35
26639,4.35
15155,4.35
15166,4.35
15165,4.35
29555,4.35
23315,4.35
15151,4.35
23320,4.35
23245,4.35
8914,4.35
29594,4.35
29596,4.35
15257,4.35
15242,4.35
23419,4.35
34723,4.35
8953,4.35
8945,4.35
23441,4.35
23408,4.35
23450,4.35
23453,4.35
17659,4.35
17640,4.35
5442,4.35
17684,4.35
29624,4.35
29699,4.35
23577,4.35
48369,1
12372,4.35
12371,4.35
12318,4.35
48521,4.35
24496,4.35
12455,4.35
12293,4.35
12460,4.35
12458,4.35
29842,4.35
5872,4.35
23685,4.35
522,4.35
48604,4.35
17865,4.35
29892,4.35
12533,4.35
29898,4.35
29871,4.35
18220,4.35
18202,4.35
24149,4.35
30175,4.35
24168,4.35
24183,4.35
24741,4.35
18335,4.35
18421,4.35
24094,4.35
30332,4.35
30338,4.35
6375,4.35
18469,4.35
30439,4.35
12970,4.35
24426,4.35
12966,4.35
30479,4.35
28143,4.35
30471,4.35
24366,4.35
12983,4.35
28168,4.35
50550,4.35
6506,4.35
13037,4.35
28461,4.35
6565,4.35
6583,4.35
13005,4.35
26822,4.35
13074,4.35
40494,4.35
40500,4.35
30508,4.35
13227,4.35
40439,4.35
25154,4.35
13159,4.35
6749,4.35
40570,4.35
25214,4.35
51025,4.35
40781,4.35
51161,4.35
25448,4.35
25347,4.35
25327,1
40024,4.35
13512,4.35
947,4.35
35649,4.35
13551,4.35
7031,4.35
7050,4.35
44718,4.35
13624,4.35
44710,4.35
35981,4.35
40317,4.35
44892,4.35
40257,4.35
40247,4.35
13666,4.35
44942,4.35
31188,4.35
9301,4.35
30746,4.35
7286,4.35
9384,4.35
38462,4.35
38472,4.35
38591,4.35
1115,4.35
41323,4.35
30811,4.35
9507,4.35
9483,4.35
9514,4.35
1137,4.35
9463,4.35
7457,4.35
7493,4.35
9551,4.35
9619,4.35
9607,4.35
7561,4.35
9814,4.35
9601,4.35
24973,1
1221,4.35
9917,4.35
9704,4.35
9948,4.35
41728,4.35
38809,4.35
38758,4.35
38748,4.35
38717,4.35
10019,4.35
42191,4.35
41783,4.35
41743,4.35
38964,4.35
41904,1
20790,1
41869,4.35
39119,4.35
10218,4.35
39270,4.35
42025,4.35
42020,4.35
41969,4.35
42140,4.35
10367,4.35
42013,4.35
42141,4.35
10358,4.35
10404,4.35
41974,4.35
42174,4.35
10447,4.35
42167,4.35
39465,4.35
39548,4.35
39605,4.35
39607,4.35
39595,4.35
39606,4.35
39567,4.35
28365,4.35
26958,1
47221,4.35
42402,4.35
31156,4.35
29487,4.35
10817,4.35
10827,4.35
10831,4.35
10813,4.35
10836,4.35
10850,4.35
10841,4.35
10885,4.35
10889,4.35
10844,4.35
10872,4.35
10884,4.35
10942,4.35
10943,4.35
10944,4.35
10950,4.35
10949,4.35
10948,4.35
10952,4.35
11016,4.35
11015,4.35
11019,4.35
11086,4.35
11087,4.35
11071,4.35
11126,4.35
11132,4.35
11112,4.35
11120,4.35
11223,4.35
11311,4.35
11340,4.35
11298,4.35
11297,4.35
11295,4.35
1977,4.35
11270,4.35
11349,4.35
11437,4.35
11408,4.35
11513,4.35
11514,4.35
11386,4.35
11808,4.35
11845,4.35
11824,4.35
