GASS,AGCnr,SDSS,PLATEID,MJD,FIBERID,ra,dec,z,MASS_P50,HIMASS_LIM
11834,101866,J000047.89+141639.1,750,52235,141,0.19954,14.277546,0.03618,10.709,8.91
11861,101867,J000054.75+151307.4,750,52235,516,0.22813,15.218737,0.0458,10.009,8.5
11828,101869,J000131.42+142426.8,750,52235,101,0.38094,14.407469,0.04191,10.211,8.5
11899,101870,J000144.41+151215.1,751,52251,356,0.43506,15.204218,0.04593,10.331,8.53
11864,101873,J000153.70+160815.2,750,52235,569,0.47375,16.137566,0.04254,10.154,8.5
11892,101874,J000200.82+150132.1,751,52251,266,0.50344,15.025609,0.03573,10.539,8.74
11825,101876,J000210.19+140810.3,750,52235,13,0.54247,14.136204,0.04201,10.625,8.83
11865,7,J000311.26+155756.7,750,52235,605,0.79694,15.96576,0.03742,11.306,9.51
11826,101882,J000320.84+144024.0,750,52235,73,0.83687,14.673346,0.04143,10.335,8.54
11900,100855,J000400.78+160110.4,751,52251,377,1.00329,16.01957,0.03722,10.024,8.5
11903,101887,J000458.72+154018.2,751,52251,426,1.24471,15.671741,0.03733,10.168,8.5
11902,101893,J000524.12+160259.8,751,52251,405,1.35052,16.049961,0.04279,10.539,8.74
11890,101894,J000527.05+134849.6,751,52251,246,1.36271,13.813791,0.04214,10.307,8.51
11912,101903,J000625.57+152543.4,751,52251,498,1.60657,15.428742,0.04415,10.297,8.5
11910,101905,J000632.57+154004.7,751,52251,484,1.63573,15.667993,0.03701,10.279,8.5
11917,101910,J000742.65+151112.7,751,52251,551,1.92773,15.186888,0.04458,10.743,8.94
11951,101914,J000805.46+145317.4,752,52251,311,2.02276,14.888187,0.04507,10.32,8.52
11956,101917,J000820.76+150921.6,752,52251,350,2.08654,15.156012,0.03951,10.088,8.5
2132,102343,J000837.48+005602.5,388,51793,577,2.15617,0.934043,0.04943,10.071,8.5
11952,100953,J000907.90+142755.9,752,52251,320,2.28293,14.465533,0.04143,10.724,8.92
11919,101926,J000920.50+153234.4,751,52251,585,2.33545,15.542902,0.04449,10.117,8.5
2122,102350,J001007.23+001942.5,388,51793,514,2.53014,0.328495,0.03889,10.005,8.5
11876,100070,J001047.89+145101.3,751,52251,68,2.69956,14.850371,0.04192,10.974,9.17
11927,101934,J001052.66+153526.6,751,52251,625,2.71942,15.590727,0.03696,11.295,9.5
11950,101936,J001136.15+134818.2,752,52251,260,2.90063,13.805058,0.03914,10.712,8.91
11946,101941,J001228.53+141039.8,752,52251,214,3.1189,14.177739,0.0442,10.408,8.61
2113,101809,J001234.46+000259.2,388,51793,32,3.14361,0.04979,0.0395,10.483,8.68
2137,102363,J001256.72+002518.0,388,51793,628,3.23636,0.42169,0.03874,10.182,8.5
2144,102364,J001312.19+004434.6,389,51795,370,3.30081,0.742958,0.03872,10.879,9.08
11945,101945,J001324.73+141230.2,752,52251,213,3.35307,14.2084,0.04518,10.689,8.89
2148,101136,J001328.58+010220.7,389,51795,410,3.3691,1.039093,0.03216,10.052,8.5
11937,101948,J001355.13+140439.0,752,52251,139,3.47975,14.077515,0.04276,10.044,8.5
2156,102370,J001417.48+010405.2,389,51795,452,3.57286,1.068124,0.03948,10.701,8.9
2155,102371,J001419.43+011254.8,389,51795,444,3.58097,1.215225,0.03978,10.25,8.5
11942,101949,J001422.57+144503.4,752,52251,174,3.59406,14.750955,0.02783,10.029,8.5
2153,102372,J001426.22+010350.9,389,51795,441,3.60927,1.064149,0.0399,10.872,9.07
2154,102374,J001427.30+010734.3,389,51795,442,3.61376,1.12622,0.04015,10.321,8.52
11941,101950,J001443.88+143120.0,752,52251,170,3.68287,14.522233,0.03417,10.274,8.5
2158,400884,J001455.07+001508.2,389,51795,474,3.72947,0.252292,0.03897,10.553,8.75
11934,101953,J001506.35+141422.6,752,52251,82,3.77646,14.239633,0.04269,10.304,8.5
2159,100967,J001529.73+003823.2,389,51795,481,3.87392,0.639778,0.04033,10.651,8.85
11977,100969,J001610.28+145530.3,752,52251,560,4.04284,14.925107,0.04204,10.681,8.88
2165,100755,J001621.30+004719.0,389,51795,540,4.08878,0.788617,0.04425,10.413,8.61
27432,102608,J001646.29+011237.0,687,52518,523,4.1929,1.210335,0.04407,11.051,9.25
2174,100130,J001647.01+004215.5,389,51795,577,4.19588,0.704308,0.04484,11.227,9.43
2162,102384,J001705.62+003810.7,389,51795,518,4.27342,0.636311,0.0453,10.105,8.5
2182,102610,J001734.46+004434.9,389,51795,620,4.39361,0.743052,0.04447,10.902,9.1
16247,102611,J001750.26+001604.8,1088,52929,400,4.45943,0.267986,0.0421,10.235,8.5
2168,102611,J001750.38+001602.1,389,51795,549,4.45993,0.26727,0.04243,10.516,8.72
16261,102392,J001810.41+001444.9,1089,52913,579,4.54341,0.245862,0.04498,10.103,8.5
2185,102395,J001827.24+003801.0,390,51900,336,4.61352,0.633624,0.04717,10.798,9
12030,101972,J001842.68+151142.6,753,52233,345,4.67786,15.195168,0.03716,10.653,8.85
12029,180,J001908.23+154457.6,753,52233,336,4.78432,15.749361,0.03664,11.174,9.37
11982,101976,J001932.15+154102.5,752,52251,614,4.88398,15.684034,0.04064,10.181,8.5
12025,101977,J001934.54+161215.0,753,52233,322,4.89396,16.204182,0.03665,10.843,9.04
12027,101979,J001940.37+155411.0,753,52233,325,4.91822,15.903058,0.04038,10.606,8.81
2184,101793,J001941.68+002232.3,389,51795,638,4.92368,0.375665,0.0413,10.504,8.7
12026,100764,J001944.69+155130.5,753,52233,324,4.93621,15.85848,0.04077,10.341,8.54
2183,102397,J002011.52+000024.6,389,51795,631,5.04803,0.006853,0.04399,10.673,8.87
2196,102399,J002027.67+000015.5,390,51900,435,5.11532,0.004318,0.04607,10.811,9.01
12044,100169,J002032.65+152050.4,753,52233,434,5.13605,15.347357,0.04031,10.347,8.55
12018,101992,J002142.86+141251.3,753,52233,260,5.42858,14.214273,0.04201,10.128,8.5
2201,102402,J002219.86+000033.2,390,51900,494,5.58276,0.009242,0.04282,10.437,8.64
2212,102403,J002231.86+002127.1,391,51782,347,5.63277,0.357547,0.04712,10.108,8.5
12012,101998,J002244.62+145658.9,753,52233,197,5.68596,14.949708,0.02519,10.317,8.52
12053,102007,J002347.85+153957.6,753,52233,488,5.94942,15.666024,0.0363,10.498,8.7
12045,102009,J002350.74+160655.7,753,52233,443,5.96144,16.115498,0.03683,10.314,8.51
12005,102014,J002420.72+144632.3,753,52233,143,6.08636,14.775663,0.0309,10.056,8.5
12002,102019,J002504.00+145815.2,753,52233,118,6.2667,14.97091,0.03672,10.482,8.68
12001,102023,J002531.64+144234.0,753,52233,107,6.38187,14.709469,0.04194,10.228,8.5
2214,102407,J002537.70+000212.2,391,51782,383,6.4071,0.036736,0.04244,11.196,9.4
12062,102606,J002556.06+153815.0,753,52233,559,6.48359,15.637516,0.03651,10.087,8.5
11989,102027,J002558.89+135545.8,753,52233,47,6.49538,13.929405,0.04194,10.693,8.89
11994,247,J002558.97+142052.7,753,52233,77,6.49573,14.347994,0.03725,10.167,8.5
12061,102028,J002601.97+153918.3,753,52233,554,6.50822,15.655093,0.03652,10.324,8.52
12065,102032,J002634.91+151924.8,753,52233,598,6.64547,15.323564,0.04189,10.605,8.81
2209,102413,J002649.05+000217.2,390,51900,625,6.70438,0.03812,0.04462,10.739,8.94
12067,102039,J002740.45+154151.5,753,52233,631,6.91856,15.697644,0.03825,10.217,8.5
2229,102419,J002829.44+004651.6,391,51782,537,7.12269,0.781022,0.04031,10.83,9.03
3163,102043,J002846.83+150529.3,417,51821,343,7.19513,15.0915,0.0422,10.631,8.83
2228,102423,J002908.09+001646.1,391,51782,514,7.28374,0.279485,0.0453,10.172,8.5
2227,102612,J002924.12+001856.7,391,51782,513,7.35053,0.315766,0.04538,10.862,9.06
2249,102426,J003005.31+002449.5,392,51793,354,7.52216,0.413776,0.0455,10.229,8.5
3157,102055,J003032.94+145635.4,417,51821,235,7.63725,14.943187,0.03812,10.571,8.77
3151,102060,J003143.05+142911.2,417,51821,166,7.92941,14.486465,0.03814,10.4,8.6
2236,729554,J003215.70+005422.1,391,51782,607,8.06543,0.906164,0.04436,10.174,8.5
27446,102723,J003246.60+010749.4,689,52262,570,8.19417,1.130416,0.04361,10.482,8.68
27181,102067,J003248.17+144738.1,418,51884,313,8.20069,14.793937,0.04182,10.596,8.8
2252,102613,J003251.34+011310.1,392,51793,366,8.21392,1.219481,0.04399,10.596,8.8
2262,102447,J003446.21+000651.7,392,51793,424,8.69256,0.114373,0.0452,10.187,8.5
3148,100318,J003506.49+142117.4,417,51821,26,8.77706,14.354837,0.03796,10.212,8.5
2264,102449,J003514.53+004145.5,392,51793,432,8.81055,0.695981,0.0412,10.732,8.93
2274,729557,J003542.87+011301.4,392,51793,533,8.92864,1.217057,0.0406,10.416,8.62
27178,101736,J003546.93+135901.4,418,51884,243,8.94559,13.983735,0.03672,10.343,8.54
27449,102460,J003600.19+000013.8,690,52261,237,9.00083,0.003829,0.04202,10.108,8.5
27175,102077,J003708.02+143148.7,418,51884,185,9.28347,14.530222,0.03843,10.42,8.62
27188,102082,J003727.09+150053.0,418,51884,473,9.36291,15.014765,0.03848,10.239,8.5
2272,100349,J003735.81+001650.4,392,51793,517,9.39922,0.280685,0.03491,10.987,9.19
27187,102087,J003749.14+153155.7,418,51884,465,9.45478,15.532194,0.03825,10.493,8.69
27170,102088,J003758.35+143250.1,418,51884,167,9.49316,14.547307,0.03885,10.54,8.74
2279,102461,J003814.65+001237.4,392,51793,554,9.56106,0.210408,0.04443,10.544,8.74
2291,400319,J003828.13+000720.7,393,51794,356,9.61721,0.122429,0.04165,10.639,8.84
27193,102095,J003831.75+151409.0,418,51884,500,9.6323,15.235837,0.03813,10.695,8.9
2275,102466,J003843.06+003451.7,392,51793,543,9.67943,0.581038,0.04303,10.184,8.5
3172,102096,J003847.43+142858.9,418,51817,141,9.69764,14.483031,0.03346,10.508,8.71
2276,101160,J003856.58+001757.3,392,51793,544,9.73579,0.299254,0.02589,10.226,8.5
27167,102100,J003921.66+142811.5,418,51884,150,9.84028,14.469862,0.03802,10.372,8.57
3189,102104,J004023.48+143649.4,419,51879,308,10.09787,14.613749,0.0384,10.046,8.5
27219,102108,J004125.29+134334.3,419,51868,284,10.35548,13.726386,0.03324,10.213,8.5
27460,102724,J004139.46+010406.3,690,52261,602,10.41444,1.06842,0.04299,10.303,8.5
2299,102476,J004217.85+002214.2,393,51794,391,10.57441,0.370626,0.04367,10.499,8.7
2306,100481,J004239.34+001638.6,393,51794,439,10.66393,0.277407,0.04358,10.887,9.09
2303,102478,J004332.28+011139.8,393,51794,409,10.8845,1.19441,0.04306,10.029,8.5
27207,102130,J004631.55+145905.9,419,51868,117,11.63148,14.984973,0.03915,10.383,8.58
2312,102482,J004649.81+004146.7,393,51794,594,11.70755,0.696316,0.04335,10.72,8.92
27197,100563,J004730.34+154149.4,419,51812,574,11.87644,15.69706,0.03142,10.7,8.9
27204,100564,J004735.13+140918.4,419,51868,57,11.89638,14.155133,0.03865,10.263,8.5
2319,100570,J004759.81+011209.1,394,51913,327,11.99922,1.202544,0.04325,10.966,9.17
2316,102488,J004821.82+003927.5,393,51794,625,12.09095,0.657663,0.04333,10.175,8.5
27205,102143,J004822.43+142024.5,419,51868,67,12.09341,14.340147,0.04396,10.445,8.65
2327,102494,J005043.86+010138.1,394,51913,417,12.68277,1.027251,0.04213,10.654,8.85
3233,102159,J005134.04+135452.7,420,51871,254,12.89187,13.914644,0.03922,10.225,8.5
3232,102160,J005142.61+143456.3,420,51871,238,12.92757,14.582307,0.04041,10.201,8.5
3228,102164,J005211.99+141023.0,420,51871,215,13.04998,14.173062,0.03992,10.459,8.66
3227,102173,J005255.96+141011.5,420,51871,213,13.2332,14.169883,0.03974,10.094,8.5
3258,102175,J005316.95+160556.1,420,51871,530,13.32064,16.09892,0.03932,10.267,8.5
2349,100666,J005345.42+005536.8,394,51913,576,13.43929,0.926911,0.04315,10.713,8.91
2346,100623,J005352.74+005846.5,394,51913,561,13.46975,0.979608,0.04202,11.196,9.4
2347,102511,J005415.33+010439.8,394,51913,569,13.56391,1.077726,0.04176,10.004,8.5
2357,102512,J005423.78+005634.2,394,51913,610,13.5991,0.942852,0.04123,10.521,8.72
3253,100627,J005450.89+151641.2,420,51871,506,13.71206,15.278116,0.038,10.246,8.5
2366,102515,J005507.25+005703.9,395,51783,331,13.78022,0.951105,0.0429,10.248,8.5
2370,102516,J005516.13+000541.9,395,51783,353,13.81724,0.094994,0.04334,10.293,8.5
27475,102725,J005528.83+003452.5,692,52201,504,13.87018,0.581282,0.04208,10.305,8.51
3261,102194,J005532.61+154632.9,420,51871,573,13.88588,15.77582,0.03747,10.078,8.5
2354,102519,J005533.44+002558.3,394,51913,591,13.88935,0.432864,0.04512,10.951,9.15
3204,729562,J005536.34+134724.8,420,51871,43,13.90146,13.790238,0.0482,10.379,8.58
2340,102521,J005538.19+001145.8,394,51913,545,13.90913,0.19608,0.04326,10.017,8.5
3212,102198,J005539.27+144625.0,420,51871,111,13.91365,14.773615,0.04039,10.057,8.5
2345,102523,J005551.31+000603.6,394,51913,560,13.96382,0.101014,0.04364,10.178,8.5
2342,102526,J005601.85+001513.2,394,51913,553,14.00773,0.253672,0.04354,10.372,8.57
3207,572,J005602.00+141349.2,420,51871,54,14.00833,14.230346,0.03976,10.529,8.73
27476,102726,J005604.17+001539.6,692,52201,553,14.01742,0.261008,0.04591,10.115,8.5
2353,102528,J005605.99+003742.9,394,51913,587,14.02497,0.628608,0.04204,10.834,9.03
2371,102530,J005609.89+000622.8,395,51783,354,14.04121,0.106333,0.04465,10.122,8.5
2369,102532,J005616.04+000636.4,395,51783,351,14.06684,0.110115,0.04367,10.43,8.63
3206,580,J005620.78+135143.8,420,51871,53,14.08662,13.862169,0.03979,11.396,9.6
2359,102535,J005623.06+000345.0,394,51913,622,14.09609,0.062513,0.04209,10.303,8.5
2362,102536,J005623.74+001642.0,394,51913,640,14.09892,0.278353,0.04395,10.422,8.62
2361,102537,J005626.30+000237.7,394,51913,636,14.10961,0.043807,0.04372,10.815,9.02
2374,100678,J005650.61+002047.2,395,51783,391,14.21088,0.346472,0.04209,10.963,9.16
3213,590,J005705.19+145430.9,420,51871,118,14.27165,14.908589,0.04966,10.832,9.03
3305,102204,J005709.66+143906.6,421,51821,304,14.29028,14.651848,0.0494,10.711,8.91
2379,102541,J005724.25+000634.8,395,51783,439,14.35105,0.10969,0.04468,10.706,8.91
3208,102206,J005724.72+141925.8,420,51871,65,14.35301,14.323845,0.04851,10.028,8.5
3301,102219,J005915.31+133433.3,421,51821,250,14.81382,13.575936,0.04036,10.924,9.12
2382,102546,J005919.95+000009.2,395,51783,502,14.83315,0.002563,0.0429,10.207,8.5
3293,619,J005948.72+144324.7,421,51821,200,14.95303,14.723548,0.04076,10.562,8.76
3297,112566,J010015.79+134549.1,421,51821,216,15.06583,13.763647,0.0403,10.104,8.5
3290,112568,J010040.54+141033.2,421,51821,170,15.16894,14.175909,0.04069,10.164,8.5
2387,100710,J010107.79+005127.7,395,51783,561,15.28248,0.857721,0.02725,10.021,8.5
2399,113358,J010204.41+002324.3,396,51816,427,15.51839,0.39009,0.04353,10.322,8.52
3321,112582,J010228.41+154457.0,421,51821,534,15.61839,15.749172,0.04028,10.853,9.05
3318,112584,J010238.29+151006.6,421,51821,511,15.65954,15.168517,0.03968,10.533,8.73
3319,112585,J010241.38+160034.7,421,51821,522,15.67244,16.009665,0.0408,10.215,8.5
3284,112587,J010253.84+141140.3,421,51821,110,15.72436,14.194555,0.03968,10.601,8.8
27484,113799,J010259.23+002550.2,693,52254,504,15.74684,0.430596,0.04225,10.669,8.87
2392,113362,J010306.85+004710.6,396,51816,333,15.77858,0.786301,0.04487,10.331,8.53
3406,110842,J010320.35+140155.3,422,51811,304,15.83483,14.032054,0.0424,10.487,8.69
3275,110842,J010320.42+140149.8,421,51821,57,15.8351,14.030505,0.04182,10.715,8.92
3413,112594,J010333.83+151119.1,422,51811,344,15.89096,15.188659,0.03975,10.447,8.65
3326,112595,J010340.01+155312.1,421,51821,580,15.91673,15.886721,0.03982,10.928,9.13
3414,113800,J010358.74+151450.2,422,51811,347,15.99477,15.247283,0.04176,10.797,9
3407,112601,J010411.24+140653.2,422,51811,308,16.04687,14.114805,0.04157,10.373,8.57
3277,112602,J010411.82+141949.7,421,51821,66,16.04927,14.330483,0.04188,10.023,8.5
3281,112607,J010430.12+143014.1,421,51821,75,16.12552,14.50392,0.04095,10.632,8.83
3267,112610,J010434.16+140400.8,421,51821,2,16.14235,14.066889,0.03972,10.747,8.95
2404,113369,J010434.31+003618.0,396,51816,474,16.143,0.605026,0.04265,10.715,8.92
2398,113371,J010452.17+005122.6,396,51816,407,16.21738,0.856298,0.04166,10.841,9.04
3408,112613,J010453.65+142406.0,422,51811,314,16.22358,14.401679,0.04078,10.022,8.5
3328,112614,J010458.10+151234.0,421,51821,593,16.24211,15.209455,0.04037,10.196,8.5
3419,112615,J010507.79+143755.7,422,51811,396,16.28246,14.632145,0.0407,10.377,8.58
27490,113875,J010510.60+005343.5,694,52209,336,16.29419,0.895429,0.04347,10.133,8.5
3405,112616,J010512.10+141847.8,422,51811,301,16.30043,14.313288,0.03966,10.19,8.5
2396,729564,J010525.13+005757.5,396,51816,403,16.35471,0.965986,0.04945,10.201,8.5
3272,110022,J010542.07+144404.0,421,51821,37,16.42533,14.734467,0.04046,10.622,8.82
2409,113377,J010550.19+001432.1,396,51816,515,16.45913,0.242277,0.04806,10.099,8.5
2419,113379,J010606.92+002025.2,396,51816,551,16.52886,0.340342,0.04366,10.304,8.5
3270,113315,J010621.80+143455.7,421,51821,24,16.59087,14.582162,0.03965,10.436,8.64
3271,677,J010625.69+143416.6,421,51821,32,16.60705,14.571297,0.04037,11.05,9.25
2424,113386,J010641.24+001424.9,396,51816,591,16.67186,0.240274,0.04422,10.242,8.5
2415,113387,J010643.07+010552.3,396,51816,530,16.67946,1.097888,0.04829,10.434,8.63
2425,411373,J010651.49+001051.3,396,51816,593,16.71458,0.180944,0.04742,10.804,9
2412,113390,J010701.38+005435.4,396,51816,524,16.75577,0.909836,0.04804,10.911,9.11
2414,113392,J010705.97+005414.3,396,51816,529,16.77488,0.903982,0.04824,10.232,8.5
2440,113393,J010710.19+000504.0,397,51794,350,16.79246,0.084451,0.04745,10.26,8.5
3398,681,J010714.24+135718.4,422,51811,251,16.80937,13.955127,0.03813,11.4,9.6
3396,112632,J010725.95+142034.6,422,51811,239,16.85816,14.342963,0.04131,10.031,8.5
3395,112634,J010737.01+142930.1,422,51811,231,16.90424,14.49172,0.04057,10.32,8.52
2442,113400,J010753.66+001934.8,397,51794,358,16.97361,0.326342,0.04755,10.852,9.05
2434,113402,J010804.74+000118.9,397,51794,313,17.01979,0.021921,0.04781,10.493,8.69
3422,112639,J010805.92+153905.5,422,51811,409,17.02469,15.651544,0.04238,10.525,8.73
2451,113404,J010812.06+000414.2,397,51794,399,17.05027,0.070614,0.04667,10.575,8.78
2449,113405,J010823.24+000523.1,397,51794,395,17.09685,0.089761,0.04691,11.163,9.36
2450,113406,J010825.97+000619.2,397,51794,397,17.10822,0.105339,0.04679,10.032,8.5
3435,112641,J010832.07+150122.9,422,51811,477,17.13363,15.023046,0.04136,10.76,8.96
3421,112643,J010836.59+154909.5,422,51811,407,17.15246,15.81931,0.04161,10.581,8.78
2447,113415,J010857.26+000621.7,397,51794,392,17.23862,0.106051,0.04508,10.12,8.5
2456,113416,J010858.98+000529.2,397,51794,423,17.24579,0.091455,0.04521,10.385,8.59
3437,112649,J010859.59+152021.1,422,51811,494,17.24829,15.339199,0.04165,10.871,9.07
3439,112651,J010905.96+144520.8,422,51811,499,17.27486,14.755782,0.03855,10.35,8.55
2455,113419,J010916.47+002823.9,397,51794,422,17.31865,0.473313,0.04459,10.146,8.5
3382,719,J010928.80+142147.2,422,51811,148,17.37004,14.363135,0.03753,11.033,9.23
27504,113423,J010933.68+002032.0,694,52209,554,17.39038,0.342234,0.04497,10.718,8.92
2430,113424,J010935.15+002013.4,396,51816,631,17.39647,0.337077,0.04446,10.711,8.91
27505,113425,J010940.13+001352.0,694,52209,558,17.41726,0.231111,0.04521,10.334,8.53
2460,113426,J010947.23+001010.4,397,51794,437,17.44682,0.169561,0.04535,10.419,8.62
2459,113429,J010956.29+002037.0,397,51794,435,17.48457,0.343623,0.04559,10.454,8.65
3443,112671,J010957.46+143715.9,422,51811,518,17.48945,14.621091,0.04409,10.093,8.5
3357,112672,J011001.66+133615.7,422,51811,90,17.50693,13.60437,0.04981,10.587,8.79
27503,113876,J011014.13+002157.3,694,52209,550,17.55884,0.365916,0.04508,10.442,8.64
2466,113431,J011017.14+002041.5,397,51794,465,17.57142,0.344886,0.04491,10.806,9.01
2464,113434,J011030.25+003210.6,397,51794,463,17.62608,0.536304,0.04451,10.586,8.79
2471,113435,J011040.76+001628.0,397,51794,476,17.66984,0.274461,0.04513,10.162,8.5
3446,112701,J011048.05+155052.3,422,51811,526,17.70023,15.847872,0.04317,10.808,9.01
3330,112702,J011053.57+132845.9,422,51811,4,17.72323,13.479434,0.04978,10.44,8.64
2468,110101,J011057.41+003803.2,397,51794,473,17.73922,0.634237,0.04638,10.753,8.95
3597,110104,J011106.18+151019.5,423,51821,346,17.77578,15.17211,0.03819,10.143,8.5
3596,112715,J011146.18+145840.2,423,51821,345,17.94242,14.977856,0.0433,11.03,9.23
3456,112720,J011153.25+152812.3,422,51811,571,17.97188,15.470103,0.04168,10.357,8.56
3588,112722,J011156.51+152759.5,423,51821,331,17.98548,15.466537,0.04401,10.763,8.96
3627,112724,J011206.66+144946.2,423,51821,394,18.02775,14.829513,0.04226,10.15,8.5
3626,729571,J011217.67+145832.8,423,51821,392,18.07364,14.975793,0.04305,10.511,8.71
3620,112726,J011221.31+150419.8,423,51821,383,18.08879,15.072167,0.04359,10.367,8.57
3465,110958,J011221.82+150039.0,422,51811,592,18.09092,15.010855,0.0292,10.188,8.5
2473,113442,J011223.50+000444.9,397,51794,493,18.09795,0.079165,0.04486,10.521,8.72
3461,112728,J011224.36+152119.9,422,51811,584,18.1015,15.355547,0.04383,10.058,8.5
3584,112729,J011224.99+153837.1,423,51821,324,18.10413,15.643656,0.04423,10.324,8.52
27228,110123,J011227.33+154500.2,422,51878,570,18.11388,15.750081,0.03783,11.208,9.41
3452,111593,J011238.00+153303.7,422,51811,563,18.15834,15.551045,0.04288,10.036,8.5
3458,110959,J011238.15+152804.3,422,51811,574,18.15897,15.467882,0.04258,10.653,8.85
2462,113446,J011242.11+010839.2,397,51794,448,18.17547,1.14423,0.04433,10.381,8.58
3460,110126,J011243.82+154228.1,422,51811,578,18.18261,15.707813,0.03858,10.291,8.5
3583,112740,J011243.96+153521.6,423,51821,323,18.18318,15.589348,0.04298,10.15,8.5
3459,111586,J011247.97+153142.9,422,51811,576,18.19992,15.528611,0.04083,10.923,9.12
3457,111594,J011249.42+153027.6,422,51811,572,18.20593,15.50768,0.0454,10.665,8.87
3594,729575,J011249.84+153019.4,423,51821,338,18.20769,15.505414,0.04279,10.631,8.83
3586,110961,J011253.89+153608.8,423,51821,327,18.22456,15.602468,0.04098,10.826,9.03
3475,110129,J011254.02+153249.0,422,51811,611,18.22508,15.546966,0.04624,11.036,9.24
2475,113448,J011254.44+001112.7,397,51794,507,18.22687,0.186865,0.04319,10.034,8.5
3587,729576,J011258.59+152814.6,423,51821,329,18.24413,15.470739,0.04301,10.161,8.5
3473,110832,J011259.42+153529.2,422,51811,609,18.24759,15.591451,0.04069,10.697,8.9
3593,111587,J011259.55+152928.6,423,51821,337,18.24815,15.491302,0.04385,11.312,9.51
3480,110130,J011300.09+152931.0,422,51811,620,18.25041,15.49197,0.04341,10.744,8.94
3472,111588,J011302.83+153138.7,422,51811,608,18.2618,15.527428,0.04569,11.167,9.37
3619,113328,J011303.68+153008.2,423,51821,379,18.26535,15.5023,0.04109,10.358,8.56
3617,729577,J011303.85+152717.4,423,51821,375,18.26608,15.454838,0.04116,10.382,8.58
3616,112749,J011307.42+152750.8,423,51821,374,18.28094,15.464125,0.04309,10.204,8.5
3487,110963,J011311.92+150558.5,422,51811,632,18.29968,15.0996,0.04554,10.407,8.61
2474,113451,J011314.47+001129.7,397,51794,506,18.31032,0.191609,0.04493,10.08,8.5
3478,110133,J011315.68+153059.2,422,51811,615,18.31537,15.51645,0.04693,11.319,9.52
3614,111591,J011316.21+153010.4,423,51821,371,18.31755,15.502915,0.04418,10.807,9.01
3468,110964,J011316.43+154036.7,422,51811,601,18.31846,15.676878,0.03822,10.084,8.5
3470,110965,J011319.10+154213.1,422,51811,605,18.32962,15.703656,0.0437,10.518,8.72
3477,113798,J011319.79+152927.1,422,51811,613,18.33246,15.490883,0.04898,10.31,8.51
3631,110978,J011320.16+144339.8,423,51821,400,18.33403,14.727738,0.04334,10.436,8.64
3471,112753,J011322.21+153457.6,422,51811,607,18.34257,15.582676,0.04791,10.065,8.5
3638,110968,J011324.27+151427.8,423,51821,421,18.35115,15.241069,0.0417,10.322,8.52
3608,110138,J011324.48+154658.0,423,51821,365,18.35202,15.782783,0.03851,10.296,8.5
3485,112348,J011326.11+151506.4,422,51811,630,18.35879,15.25179,0.04196,10.27,8.5
3486,112754,J011326.54+144544.1,422,51811,631,18.36061,14.762252,0.0456,10.061,8.5
3641,110970,J011326.66+152007.0,423,51821,433,18.36109,15.335287,0.04231,10.492,8.69
2490,410087,J011327.21+000909.0,397,51794,558,18.36341,0.152503,0.04313,10.754,8.95
2483,110868,J011333.06+002947.9,397,51794,545,18.38776,0.496666,0.0441,10.812,9.01
2486,110869,J011337.58+002525.4,397,51794,551,18.40661,0.423736,0.04661,10.276,8.5
3484,112764,J011342.98+151353.9,422,51811,625,18.42911,15.231659,0.0452,10.47,8.67
3610,112766,J011344.94+154100.2,423,51821,367,18.43727,15.683413,0.04426,10.337,8.54
2527,110872,J011346.32+001820.5,398,51789,344,18.44303,0.305705,0.04436,11.036,9.24
2528,410979,J011346.85+001207.4,398,51789,347,18.44525,0.202063,0.04506,10.761,8.96
3634,111744,J011347.63+153029.8,423,51821,407,18.44848,15.508289,0.04533,10.893,9.09
3642,112767,J011348.04+150549.8,423,51821,438,18.45018,15.09718,0.04227,10.078,8.5
2533,111399,J011355.46+002442.9,398,51789,359,18.48109,0.411931,0.04637,10.008,8.5
2485,111401,J011357.18+002217.1,397,51794,550,18.48826,0.371425,0.04541,10.415,8.62
27513,410089,J011410.07+001206.1,694,52209,639,18.54201,0.201729,0.04392,10.422,8.62
27514,410982,J011411.46+000950.5,694,52209,640,18.5478,0.164067,0.04478,10.388,8.59
2524,110146,J011415.79+004555.1,398,51789,337,18.56582,0.765325,0.04252,10.711,8.91
3633,110973,J011416.81+153533.0,423,51821,405,18.57004,15.592515,0.03827,10.931,9.13
2532,410092,J011421.54+001047.0,398,51789,356,18.58979,0.179742,0.04429,10.993,9.19
3333,112783,J011422.37+140241.2,422,51811,26,18.59322,14.044802,0.04276,10.108,8.5
2482,111400,J011424.03+002812.1,397,51794,542,18.60017,0.470029,0.04698,10.245,8.5
2526,113458,J011424.69+002428.9,398,51789,342,18.60289,0.408044,0.04665,10.571,8.77
2529,110147,J011425.69+003209.8,398,51789,348,18.60704,0.53608,0.04106,10.43,8.63
2531,410094,J011429.86+001254.7,398,51789,350,18.62445,0.215206,0.04635,10.546,8.75
27528,111394,J011430.23+003144.0,695,52202,425,18.62601,0.528926,0.04669,10.291,8.5
2553,110148,J011430.81+001928.1,398,51789,396,18.62838,0.324498,0.04365,10.89,9.09
2545,111397,J011432.25+003155.4,398,51789,385,18.63438,0.532062,0.04764,10.417,8.62
2484,729580,J011432.91+001401.5,397,51794,547,18.63715,0.233766,0.04497,10.253,8.5
