GASS,AGCnr,SDSS,PLATEID,MJD,FIBERID,ra,dec,z,MASS_P50,HIMASS_LIM
8521,204041,J100139.54+042302.1,572,52289,588,150.41478,4.383917,0.04771,10.212,8.5
5034,204230,J100142.71+030017.9,501,52235,368,150.42798,3.004997,0.04406,10.263,8.5
8562,204231,J100144.27+035608.5,573,52325,306,150.43446,3.935708,0.04965,10.173,8.5
33770,205917,J100149.34+325938.1,1949,53433,527,150.4556,32.993935,0.04992,10.158,8.5
14834,203849,J100150.55+052037.4,995,52731,94,150.46066,5.343743,0.04305,10.223,8.5
33710,205918,J100150.96+344319.2,1948,53388,639,150.46236,34.722004,0.03918,10.276,8.5
5035,204232,J100152.69+030040.7,501,52235,370,150.46954,3.01132,0.04407,10.773,8.97
8523,204044,J100154.06+041431.0,572,52289,600,150.47527,4.241959,0.04889,10.194,8.5
53846,721849,J100156.30+244040.8,2344,53740,96,150.4846,24.678022,0.04551,10.644,8.84
134,204837,J100200.62+001044.1,268,51633,636,150.50262,0.178938,0.04579,10.276,8.5
33958,205924,J100203.35+324559.1,1952,53378,296,150.51398,32.76644,0.04956,10.504,8.7
148,204838,J100204.08+004115.1,269,51910,374,150.51703,0.68753,0.04513,10.378,8.58
33767,205926,J100204.98+325152.9,1949,53433,523,150.52078,32.864716,0.0492,10.614,8.81
33707,205925,J100205.04+352519.0,1948,53388,601,150.52103,35.421967,0.03921,10.139,8.5
55835,191785,J100206.86+174922.6,2371,53762,2,150.5286,17.822948,0.02613,10.329,8.53
26141,202477,J100208.48+115712.4,1744,53055,199,150.53534,11.95345,0.03621,10.552,8.75
33784,205929,J100211.30+323408.8,1949,53433,554,150.54709,32.569126,0.04892,10.279,8.5
33791,205934,J100218.00+324628.1,1949,53433,572,150.57503,32.774494,0.04855,10.441,8.64
141,204840,J100222.54+003331.1,269,51910,345,150.59395,0.558645,0.04422,10.416,8.62
18747,203248,J100225.71+080859.6,1236,52751,235,150.60713,8.149911,0.04927,10.169,8.5
53793,718290,J100226.00+230428.6,2343,53735,305,150.60834,23.074617,0.04143,10.116,8.5
